Processed file: g1 | Time taken: 36.739 ms
Processed file: g10 | Time taken: 47.55 ms
Processed file: g11 | Time taken: 8.483 ms
Processed file: g12 | Time taken: 6.66 ms
Processed file: g13 | Time taken: 6.681 ms
Processed file: g14 | Time taken: 9.692 ms
Processed file: g15 | Time taken: 9.577 ms
Processed file: g16 | Time taken: 9.638 ms
Processed file: g17 | Time taken: 9.608 ms
Processed file: g18 | Time taken: 11.571 ms
Processed file: g19 | Time taken: 11.765 ms
Processed file: g2 | Time taken: 35.991 ms
Processed file: g20 | Time taken: 11.539 ms
Processed file: g21 | Time taken: 11.758 ms
Processed file: g22 | Time taken: 101.915 ms
Processed file: g23 | Time taken: 104.334 ms
Processed file: g24 | Time taken: 105.336 ms
Processed file: g25 | Time taken: 101.991 ms
Processed file: g26 | Time taken: 101.298 ms
Processed file: g27 | Time taken: 109.13 ms
Processed file: g28 | Time taken: 108.278 ms
Processed file: g29 | Time taken: 108.778 ms
Processed file: g3 | Time taken: 35.917 ms
Processed file: g30 | Time taken: 107.873 ms
Processed file: g31 | Time taken: 108.796 ms
Processed file: g32 | Time taken: 41.052 ms
Processed file: g33 | Time taken: 41.098 ms
Processed file: g34 | Time taken: 41.042 ms
Processed file: g35 | Time taken: 59.537 ms
Processed file: g36 | Time taken: 59.942 ms
Processed file: g37 | Time taken: 59.398 ms
Processed file: g38 | Time taken: 59.537 ms
Processed file: g39 | Time taken: 75.499 ms
Processed file: g4 | Time taken: 36.022 ms
Processed file: g40 | Time taken: 73.092 ms
Processed file: g41 | Time taken: 73.739 ms
Processed file: g42 | Time taken: 74.393 ms
Processed file: g43 | Time taken: 25.759 ms
Processed file: g44 | Time taken: 25.92 ms
Processed file: g45 | Time taken: 25.506 ms
Processed file: g46 | Time taken: 25.785 ms
Processed file: g47 | Time taken: 25.748 ms
Processed file: g48 | Time taken: 99.104 ms
Processed file: g49 | Time taken: 110.893 ms
Processed file: g5 | Time taken: 44.536 ms
Processed file: g50 | Time taken: 110.648 ms
Processed file: g51 | Time taken: 18.909 ms
Processed file: g52 | Time taken: 19.018 ms
Processed file: g53 | Time taken: 19.016 ms
Processed file: g54 | Time taken: 18.738 ms
Processed file: g6 | Time taken: 45.977 ms
Processed file: g7 | Time taken: 46 ms
Processed file: g8 | Time taken: 46.301 ms
Processed file: g9 | Time taken: 45.621 ms
