Name,|V|,|E|,Randomized-1,Greedy-1,Semi-Greedy-1,Simple local Iteration,LS Avg Value,GRASP Iterations,GRASP Result
G1,800,19176,9586.98,11059,11043,329,11370,25,11293
G10,800,19176,-72.1,1355,1413,298,1750,25,1675
G11,800,1600,15.34,436,414,156,412,25,442
G12,800,1600,-0.1,416,400,156,382,25,426
G13,800,1600,15.3,460,452,156,428,25,474
G14,800,4694,2346.63,2856,2951,191,2911,25,2978
G15,800,4661,2333.15,2828,2930,197,2903,25,2963
G16,800,4672,2338.91,2828,2920,200,2925,25,2949
G17,800,4667,2330.06,2862,2905,186,2903,25,2938
G18,800,4694,30.93,679,722,246,828,25,875
G19,800,4661,-60.51,614,658,251,752,25,757
G2,800,19176,9597.1,11046,11109,294,11273,25,11334
G20,800,4672,-23.89,587,677,247,774,25,778
G21,800,4667,-31.1,589,683,270,807,25,764
G22,2000,19990,9995.79,12390,12560,618,12753,25,12821
G23,2000,19990,9994.07,12325,12595,676,12807,25,12859
G24,2000,19990,9991.65,12330,12648,650,12749,25,12869
G25,2000,19990,9996.91,12342,12648,628,12804,25,12915
G26,2000,19990,9998.05,12343,12600,640,12789,25,12859
G27,2000,19990,-11.79,2399,2400,661,2833,25,2811
G28,2000,19990,-44.67,2337,2383,655,2748,25,2742
G29,2000,19990,42.73,2456,2476,646,2819,25,2855
G3,800,19176,9590.06,10971,11060,289,11315,25,11314
G30,2000,19990,62.19,2386,2357,703,2906,25,2815
G31,2000,19990,-37.39,2243,2281,671,2708,25,2708
G32,2000,4000,16.2,1084,1030,393,1012,25,1092
G33,2000,4000,-13.44,1014,1022,401,1020,25,1092
G34,2000,4000,-28.58,1016,1010,393,980,25,1074
G35,2000,11778,5889.83,7174,7365,482,7334,25,7435
G36,2000,11766,5876.62,7180,7320,468,7310,25,7409
G37,2000,11785,5902.75,7150,7375,494,7339,25,7447
G38,2000,11779,5893.87,7198,7383,476,7336,25,7443
G39,2000,11778,6.27,1718,1714,566,1944,25,2060
G4,800,19176,9588.73,11044,11189,307,11331,25,11407
G40,2000,11766,-51.12,1623,1742,616,2006,25,1992
G41,2000,11785,-7.49,1621,1796,617,1951,25,2022
G42,2000,11779,62.49,1728,1706,623,2038,25,2023
G43,1000,9990,5001.57,6192,6255,311,6372,25,6422
G44,1000,9990,4998.35,6153,6261,328,6366,25,6407
G45,1000,9990,4995.6,6186,6284,363,6388,25,6414
G46,1000,9990,4994.54,6224,6287,314,6348,25,6455
G47,1000,9990,5006.17,6194,6366,303,6353,25,6445
G48,3000,6000,2992.28,6000,5856,747,4882,25,5862
G49,3000,6000,2998.36,5800,5890,686,4786,25,5898
G5,800,19176,9597.26,11058,11017,308,11371,25,11349
G50,3000,6000,2995.36,5880,5754,746,4930,25,5774
G51,1000,5909,2955.3,3589,3686,229,3669,25,3723
G52,1000,5916,2952.11,3623,3699,240,3657,25,3723
G53,1000,5914,2962.99,3618,3690,224,3673,25,3724
G54,1000,5916,2960.2,3621,3708,244,3686,25,3724
G6,800,19176,77.54,1519,1555,292,1852,25,1945
G7,800,19176,-73.08,1423,1363,303,1744,25,1752
G8,800,19176,-97.88,1334,1434,287,1727,25,1761
G9,800,19176,-39.61,1417,1470,280,1765,25,1731
